,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,labs
ERR2197820,147.72586,149.6067,151.86903,150.13396,149.25536,148.80675,149.43474,148.858,149.57057,149.7249,149.38623,149.68016,148.77316,149.78786,149.16681,Homo_sapiens
ERR2102823,161.91599,164.3975,166.55482,164.65225,163.05502,163.00087,163.76772,163.12502,163.97313,164.11414,163.76523,164.01038,162.89651,164.16074,164.27327,Homo_sapiens
ERR2102810,147.65096,149.53252,151.79631,150.0589,149.16695,148.72546,149.35498,148.78021,149.49162,149.64696,149.30779,149.60022,148.6955,149.70741,149.08372,Homo_sapiens
ERR2102821,99.52759,102.0259,104.21381,102.746635,102.055565,102.11042,102.26354,101.75137,102.36066,102.42768,102.502686,102.50888,101.82239,102.51892,102.20183,Homo_sapiens
ERR2102812,119.7552,122.50475,124.46189,122.82699,122.76736,122.79593,122.81016,122.803406,122.79597,122.81678,123.45857,122.98584,122.30739,122.91768,122.67843,Homo_sapiens
ERR2102809,173.21086,176.47636,178.15553,176.71811,176.13226,175.90224,176.55087,175.77115,176.56995,176.64574,176.6652,176.71823,175.81665,176.81114,176.12802,Homo_sapiens
ERR2197827,180.90761,184.72536,185.34927,184.71663,184.9212,185.3441,185.33067,185.07947,185.30023,185.3776,186.06058,185.49442,184.92134,185.41588,185.11748,Homo_sapiens
ERR2197816,144.17673,145.8229,147.78685,145.99995,145.06601,144.78241,145.41441,144.97487,145.49443,145.71164,145.42902,145.62148,144.73317,145.68768,145.0534,Homo_sapiens
ERR2197830,173.18716,176.45232,178.13184,176.69438,176.11159,175.88046,176.52853,175.74855,176.5475,176.62292,176.64247,176.69562,175.79378,176.78844,176.10373,Homo_sapiens
ERR2197835,164.95383,168.09915,170.39828,168.80212,168.34874,168.34135,168.51155,168.18214,168.48917,168.50096,168.65175,168.5995,167.79813,168.68272,168.20374,Homo_sapiens
ERR2102815,147.67284,149.54985,151.42094,149.55981,148.58553,148.42834,148.9646,148.58452,149.15904,149.20847,149.04433,149.1196,148.22493,149.14569,148.57008,Homo_sapiens
ERR2197817,161.84184,165.38513,165.8832,165.93584,165.15071,166.81816,166.25659,166.25931,166.26448,166.29698,166.77298,166.39883,166.4625,166.32713,166.09096,Homo_sapiens
ERR2197826,232.71872,235.01768,236.67403,234.30672,233.05432,234.45418,234.67656,234.45851,234.55202,234.65486,235.06519,234.79184,234.05766,234.67787,234.52713,Homo_sapiens
ERR2197833,154.14442,155.92143,157.527,155.65387,154.86705,154.57509,155.09805,154.83078,155.26674,155.37413,155.1791,155.26135,154.38339,155.28728,155.04128,Homo_sapiens
ERR2102824,173.0469,176.31236,177.99144,176.55414,175.96448,175.73679,176.38593,175.60652,176.40509,176.48093,176.50055,176.55333,175.65216,176.64627,175.96399,Homo_sapiens
ERR2102813,163.11395,165.65834,167.77425,165.88336,164.2498,164.1694,164.97566,164.29344,165.15236,165.36296,164.89536,165.23355,164.0305,165.40434,165.54106,Homo_sapiens
ERR2197832,140.48497,143.13419,145.48035,144.29597,143.79912,143.26732,143.59734,142.74855,143.80423,143.82043,143.54204,143.89,143.2417,144.06625,143.64076,Homo_sapiens
ERR2197822,147.38472,149.69429,152.29633,151.29155,151.45702,150.29872,150.45935,150.28854,150.66167,150.40166,150.71283,150.9387,149.72015,151.2037,150.32794,Homo_sapiens
ERR2197823,164.11871,166.64662,168.7996,166.91368,165.2882,165.19214,165.98405,165.31264,166.16153,166.39317,165.90527,166.24467,165.04233,166.43044,166.535,Homo_sapiens
ERR2102811,185.61116,189.121,190.30605,189.39282,188.88567,189.1426,189.50551,188.92934,189.5127,189.53564,189.84259,189.6426,189.04552,189.67383,189.13542,Homo_sapiens
ERR2197824,162.38132,164.86505,167.02007,165.11844,163.51588,163.45859,164.23068,163.58363,164.43454,164.57986,164.22313,164.474,163.35355,164.6255,164.74106,Homo_sapiens
ERR2197825,146.69737,148.54506,150.40749,148.542,147.6245,147.42575,147.98764,147.57599,148.15935,148.22908,148.03331,148.14249,147.2357,148.1685,147.60118,Homo_sapiens
ERR2197828,142.95564,145.85713,147.87682,146.87062,146.39282,146.50331,146.50063,146.21709,146.60872,146.5554,146.75253,146.80049,146.18153,146.89038,146.44963,Homo_sapiens
ERR2102817,180.8417,184.68448,185.3091,184.67679,184.88058,185.30151,185.28932,185.03691,185.25783,185.33626,186.01756,185.4534,184.8796,185.37459,185.075,Homo_sapiens
ERR2102820,165.73083,168.87659,171.17545,169.5832,169.14299,169.13312,169.2979,168.97012,169.27435,169.2837,169.43893,169.38383,168.58708,169.46693,168.98097,Homo_sapiens
ERR2102822,147.26053,149.16704,151.49892,149.79689,148.9317,148.43138,149.06389,148.4538,149.2052,149.3527,148.99829,149.32324,148.41516,149.4458,148.80785,Homo_sapiens
ERR2197831,138.92455,140.5355,143.9862,142.73172,142.22237,140.35185,141.24261,139.81183,141.79182,141.69304,140.61989,141.68095,140.67842,142.17868,141.22691,Homo_sapiens
ERR2102807,162.82182,166.43428,166.91338,167.05017,166.24478,167.7745,167.24675,167.1605,167.16011,167.28815,167.71031,167.41632,167.36546,167.24083,167.1376,Homo_sapiens
ERR2197821,173.0696,176.33504,178.01408,176.57684,175.98964,175.76047,176.40938,175.62976,176.42845,176.50415,176.52377,176.57669,175.67534,176.66959,175.98642,Homo_sapiens
ERR2102819,170.21399,173.24153,175.31824,173.80801,173.91702,173.43481,173.72475,173.16238,173.69547,173.67624,173.73248,173.80132,172.89343,173.86375,172.95381,Homo_sapiens
ERR2102808,163.54643,166.07822,168.22272,166.33629,164.73482,164.62857,165.42014,164.74742,165.59468,165.81868,165.34138,165.6792,164.47597,165.85992,165.96393,Homo_sapiens
ERR2197819,144.1661,145.81563,147.77747,145.99063,145.05441,144.77249,145.40424,144.96503,145.4848,145.70259,145.41953,145.61182,144.7234,145.67836,145.04333,Homo_sapiens
ERR2102806,180.76927,184.58246,185.20473,184.57344,184.77733,185.19662,185.18501,184.93196,185.15346,185.23364,185.9129,185.35016,184.77725,185.27165,184.9705,Homo_sapiens
ERR2102816,162.75931,165.30394,167.41908,165.5272,163.89992,163.81856,164.6236,163.94275,164.80156,165.00598,164.5472,164.88033,163.68137,165.04865,165.18535,Homo_sapiens
ERR1135436,130.70332,132.09492,128.35991,128.21152,129.22137,128.79184,128.24571,129.01114,128.8469,128.91862,128.8264,128.64093,128.67088,128.6592,128.8541,Sus_scrofa
ERR1135452,150.69232,152.27858,148.18005,147.67838,148.75436,148.34766,147.57005,148.57578,148.07373,148.53403,148.17485,147.98318,148.31343,148.07928,148.32477,Sus_scrofa
ERR1135466,178.1748,178.31071,174.69759,175.0543,175.7542,175.3025,174.91748,175.43704,175.07983,175.66223,175.58083,174.92049,175.31607,175.01407,175.56389,Sus_scrofa
ERR1135422,141.77261,143.33714,139.4436,138.85704,139.94148,139.57568,138.76207,139.8309,139.40631,139.72203,139.42981,139.27982,139.53656,139.26811,139.58015,Sus_scrofa
ERR1135271,103.149704,104.55666,100.24645,100.37601,101.74883,101.42142,99.64573,101.82918,100.68224,101.71391,101.17641,101.34446,101.34441,101.11362,101.26158,Sus_scrofa
